Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"Développement Commercial - Sponsoring et Partenariats - Casablanca","SEVEN PM est une agence de référence en matière de production culturelle, orchestrant des événements prestigieux tels que Jazzablanca, Tanjazz, Casa Anfa Latina, et de nombreux évènements culturels.","Bac +5 et plus Minimum - Ecole de commerce","De 3 à 5 ans","casablanca","CDI","","https://www.rekrute.com/offre-emploi-developpement-commercial---sponsoring-et-partenariats-recrutement-seven-pm-casablanca-165851.html"
"Chef de Projets Evénementiels - Casablanca","SEVEN PM est une agence de référence en matière de production culturelle, orchestrant des événements prestigieux tels que Jazzablanca, Tanjazz, Casa Anfa Latina, et de nombreux évènements culturels.","Bac +4 Maximum - BTS / DUT","De 3 à 5 ans - De 5 à 10 ans","casablanca","CDI","","https://www.rekrute.com/offre-emploi-chef-de-projets-evenementiels-recrutement-seven-pm-casablanca-166306.html"
"Planification et prise de RDV - Casablanca","Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché, le Groupe réalise plus de 80 000 interventions par jour grâce à ses 15 000 techniciens et experts, qui accompagnent nos clients pour faire l’expérience d’un monde numérique et connecté.","Bac Minimum - Formation spécialisée - Baccalauréat","De 1 à 3 ans","27 Boulevard Mohamed Zerktouni Casablanca Résidence Montassir, Troisième étage 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-planification-et-prise-de-rdv-recrutement-sol30-casablanca-166944.html"
"","","","","","","",""
"Superviseur - Tanger","Impérial Com - L'Esprit de Communication","Bac +2 Minimum - Université","Moins de 1 an - De 1 à 3 ans","Riad Tetouan Immeuble Office Bulding 3ème Etage Tanger Tanger","CDI","","https://www.rekrute.com/offre-emploi-superviseur-recrutement-imperial-com-tanger-166810.html"
"Téléconseiller en prise des Rdvs Rénovations d'Ampleur Débutant ou Expérimenté H/F (Tanger) - Tanger","Impérial Com - L'Esprit de Communication","Bac +2 Minimum - Université","Débutant","Riad Tetouan Immeuble Office Bulding 3ème Etage Tanger Tanger","CDI","","https://www.rekrute.com/offre-emploi-teleconseiller-en-prise-des-rdvs-renovations-dampleur-debutant-ou-experimente-hf-tanger-recrutement-imperial-com-tanger-166811.html"
"Agent Commercial back office - Casablanca","Grande entreprise industrielle située à Casablanca, nous sommes rattachés à un grand groupe international situé sur plusieurs continents.","Bac +2 Minimum - Ecole de commerce","De 1 à 3 ans","not found","CDI","","https://www.rekrute.com/offre-emploi-agent-commercial-back-office-recrutement-confidentiel-casablanca-166942.html"
"Chef de Projets Industriels Composites - Nouaceur","ORH Assessment, filiale du groupe LMS ORH, est un cabinet conseil en recrutement qui offre également des prestations en Assessment et prend en charge l’organisation de concours pour le compte de grandes entreprises publiques et privées.","Bac +5 et plus Minimum - Master","De 5 à 10 ans","47, Bd d'Anfa 20070 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-chef-de-projets-industriels-composites-recrutement-orh-assessment-nouaceur-166940.html"
"Plant Quality Specialist - Tanger","We are a leading company in the automotive sector looking for a Plant Quality Specialist, he/she will be responsible for:","Bac +5 et plus Minimum","Moins de 1 an","not found","CDI","","https://www.rekrute.com/offre-emploi-plant-quality-specialist-recrutement-confidentiel-tanger-166939.html"
"Ingénieur Amélioration Continue - Nouaceur","Safran Nacelles est l'un des deux principaux intégrateurs mondiaux de nacelles de moteurs d'avion. Avec plus de 19 000 équipements en service, Safran Nacelles propose une gamme de nacelles","Bac +5 et plus Minimum","De 3 à 5 ans","BP 80 Technopole Aeroport Mohamed V Nouaceur Casablanca","CDI","","https://www.rekrute.com/offre-emploi-ingenieur-amelioration-continue-recrutement-safran-nacelles-nouaceur-166334.html"
