Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL,Is CDI,Is CDD,Encoded Study Level,Encoded Experience Level
Ingénieur d'études en Génie Rural Confirmé - Salé (Technopolis),Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,De 5 à 10 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Agriculture"" (""métiers"" ""de"" l'), ""Agriculture"", ""Environnement"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-genie-rural-confirme-recrutement-novec-sale-technopolis-166513.html,1,0,4,7.5
"Technicien(ne) Fluide - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 1 à 3 ans - De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-fluide-recrutement-novec-sale-technopolis-166512.html,1,0,1,2.0
"Ingénieur d'études en Ouvrages d'Art - Salé, Technopolis",Novec,Bac +5 et plus Minimum - Ecole d'ingénieur,De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-ouvrages-dart-recrutement-novec-sale-technopolis-166511.html,1,0,4,2.0
"Ingénieur Electricien - Salé, Technopolis",Novec,Bac +5 et plus Minimum - Ecole d'ingénieur,De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-electricien-recrutement-novec-sale-technopolis-165596.html,1,0,4,4.0
Technicien en Hydraulique rurale et Irrigation / CDD - Kénitra et régions,Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDD,"[""Agriculture"" (""métiers"" ""de"" l'), ""Agriculture"", ""Environnement""]",https://www.rekrute.com/offre-emploi-technicien-en-hydraulique-rurale-et-irrigation-cdd-recrutement-novec-kenitra-et-regions-165866.html,0,1,1,2.0
"Technicien(ne) SIG - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,Débutant,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Environnement"" (""métiers"" ""de"" l'), ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-sig-recrutement-novec-sale-technopolis-165814.html,1,0,1,-1.0
"Ingénieur Etudes et Développement Informatique - Salé, Technopolis",Novec,Bac +5 et plus Minimum - Ecole d'ingénieur,Débutant,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Informatique"", ""Electronique"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-etudes-et-developpement-informatique-recrutement-novec-sale-technopolis-166673.html,1,0,4,-1.0
"Infirmière de travail - CDD - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +3 Minimum - Formation spécialisée,De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDD,"[""Médical"", ""Paramédical"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-infirmiere-de-travail---cdd-recrutement-novec-sale-technopolis-166148.html,0,1,2,2.0
Chef de Projet Ouvrages d'art - Salé (Technopolis),Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,De 5 à 10 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-chef-de-projet-ouvrages-dart-recrutement-novec-sale-technopolis-165614.html,1,0,4,7.5
"Ingénieur d'études transport - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,Débutant,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-detudes-transport-recrutement-novec-sale-technopolis-165481.html,1,0,4,-1.0
